Start Index|Event Name|Start Time|Elapsed Time|Workbook|Worksheet|Dashboard|DataSource Name|CacheHit|Command|Action Name|Command Name|DataEngine API|Dialog Name|Task Name|Job Name|Processor Time Inclusive|Processor Time Exclusive|User Time Inclusive|User Time Exclusive|ContextId|ThreadID|Depth|Path|Level0|Level1|Level2|Level3|Level4|Level5|Level6|Level7|Level8|Level9|Level10|Level11|Level12|Level13|Level14|Level15|Level16|Level17|Level18|Level19|Session ID|Request ID|URL|XML Size|XML Text
33|Workspace_DoViewStatisticsChanged|1559.550461200|0.002293200||||||||tabui:record-perf||||RecordPerformanceJob|0.002|0.000|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Workspace_DoViewStatisticsChanged|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Workspace_DoViewStatisticsChanged|||||||||||||||
34|async-task.task-job|1560.065574100|0.048211900||||||||tabui:record-perf||||LowMemoryJob|0.048|0.048|0.000|0.000|5204|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager.async-task.task-job|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|async-task|task-job|||||||||||||
35|JobManager|1560.065556900|0.048232200||||||||tabui:record-perf||||LowMemoryJob|0.048|0.000|0.000|0.000|5204|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.JobManager|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|JobManager|||||||||||||||
36|Action|1560.531235400|0.000184600|initial||||||AutoBrushingAction|tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|11|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Action.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Action|Action||||||||||||||
37|Action|1560.531091500|0.000363300|initial||||||OnSelectAction|tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.Action|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|Action|||||||||||||||
38|UnpivotTables|1560.535136600|0.000014500||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|11|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SummaryStatisticsBuilder.UnpivotTables|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SummaryStatisticsBuilder|UnpivotTables||||||||||||||
39|TablesOuterJoin|1560.535169400|0.000002600||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|12|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SummaryStatisticsBuilder.JoinTables.TablesOuterJoin|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SummaryStatisticsBuilder|JoinTables|TablesOuterJoin|||||||||||||
40|JoinTables|1560.535155100|0.000022500||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|11|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SummaryStatisticsBuilder.JoinTables|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SummaryStatisticsBuilder|JoinTables||||||||||||||
41|ComputeSummary|1560.535236700|0.000359000||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|11|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SummaryStatisticsBuilder.ComputeSummary|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SummaryStatisticsBuilder|ComputeSummary||||||||||||||
42|SummaryStatisticsBuilder|1560.535029200|0.000642900||||||||tabui:record-perf||||RecordPerformanceJob|0.000|0.000|0.000|0.000|5183|14648|10|JobManager.async-task.task-job.commands-controller.invoke-command.JobManager.async-task.task-job.performance.SummaryStatisticsBuilder|JobManager|async-task|task-job|commands-controller|invoke-command|JobManager|async-task|task-job|performance|SummaryStatisticsBuilder|||||||||||||||
